Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
657,O,2.500,3.500,30.000,1
658,O,2.500,3.500,30.000,6
659,O,2.500,3.500,30.000,6
660,O,2.500,3.500,30.000,4
661,O,2.500,3.500,30.000,1
662,O,2.500,3.500,30.000,5
663,O,2.500,3.500,30.000,5
664,O,2.500,3.500,30.000,2
665,O,2.500,3.500,30.000,5
666,O,2.500,3.500,30.000,1
667,O,2.500,3.500,30.000,2
668,O,2.500,3.500,30.000,2
669,O,2.500,3.500,30.000,3
670,O,2.500,3.500,30.000,2
671,O,2.500,3.500,30.000,3
672,O,2.500,3.500,30.000,5
673,O,2.500,3.500,30.000,3
674,O,2.500,3.500,30.000,4
675,O,2.500,3.500,30.000,3
676,O,2.500,3.500,30.000,1
677,O,2.500,3.500,30.000,8
678,O,2.500,3.500,30.000,2
679,O,2.500,3.500,30.000,4
680,O,2.500,3.500,30.000,2
681,O,2.500,3.500,30.000,1
682,O,2.500,3.500,30.000,0
683,O,2.500,3.500,30.000,4
684,O,2.500,3.500,30.000,7
685,O,2.500,3.500,30.000,5
686,O,2.500,3.500,30.000,4
687,O,2.500,3.500,30.000,4
688,O,2.500,3.500,30.000,3
689,O,2.500,3.500,30.000,6
690,O,2.500,3.500,30.000,3
691,O,2.500,3.500,30.000,3
692,O,2.500,3.500,30.000,4
693,O,2.500,3.500,30.000,5
694,O,2.500,3.500,30.000,3
695,O,2.500,3.500,30.000,0
696,O,2.500,3.500,30.000,2
697,O,2.500,3.500,30.000,0
698,O,2.500,3.500,30.000,2
699,O,2.500,3.500,30.000,1
700,O,2.500,3.500,30.000,4
701,O,2.500,3.500,30.000,9
702,O,2.500,3.500,30.000,3
703,O,2.500,3.500,30.000,5
704,O,2.500,3.500,30.000,3
705,O,2.500,3.500,30.000,5
706,O,2.500,3.500,30.000,2
707,O,2.500,3.500,30.000,4
708,O,2.500,3.500,30.000,2
709,O,2.500,3.500,30.000,3
710,O,2.500,3.500,30.000,5
711,O,2.500,3.500,30.000,6
712,O,2.500,3.500,30.000,7
713,O,2.500,3.500,30.000,4
714,O,2.500,3.500,30.000,7
715,O,2.500,3.500,30.000,6
716,O,2.500,3.500,30.000,7
717,O,2.500,3.500,30.000,2
718,O,2.500,3.500,30.000,3
719,O,2.500,3.500,30.000,2
720,O,2.500,3.500,30.000,2
721,O,2.500,3.500,30.000,7
722,O,2.500,3.500,30.000,3
723,O,2.500,3.500,30.000,0
724,O,2.500,3.500,30.000,7
725,O,2.500,3.500,30.000,5
726,O,2.500,3.500,30.000,6
727,O,2.500,3.500,30.000,2
728,O,2.500,3.500,30.000,2
729,O,2.500,3.500,30.000,3
730,O,2.500,3.500,30.000,4
731,O,2.500,3.500,30.000,6
732,O,2.500,3.500,30.000,4
733,O,2.500,3.500,30.000,6
734,O,2.500,3.500,30.000,4
735,O,2.500,3.500,30.000,4
736,O,2.500,3.500,30.000,4
737,O,2.500,3.500,30.000,6
738,O,2.500,3.500,30.000,5
739,O,2.500,3.500,30.000,3
740,O,2.500,3.500,30.000,4
741,O,2.500,3.500,30.000,3
742,O,2.500,3.500,30.000,2
743,O,2.500,3.500,30.000,7
744,O,2.500,3.500,30.000,4
745,O,2.500,3.500,30.000,5
746,O,2.500,3.500,30.000,4
747,O,2.500,3.500,30.000,3
748,O,2.500,3.500,30.000,4
749,O,2.500,3.500,30.000,5
750,O,2.500,3.500,30.000,3
751,O,2.500,3.500,30.000,4
752,O,2.500,3.500,30.000,6
753,O,2.500,3.500,30.000,4
754,O,2.500,3.500,30.000,4
755,O,2.500,3.500,30.000,4
756,O,2.500,3.500,30.000,3
